"","Gene","Contrast","Estimate","Pr(>|t|)","FDR","TargetName","RTS_ID"
"9848","YY1","normal - DKD",0.259813478613022,0.153201119564926,0.862121639202495,"YY1","RTS0027831"
"9849","YY1AP1","normal - DKD",0.195765472966045,0.180254328630337,0.875620065615828,"YY1AP1","RTS0036321"
"9850","ZADH2","normal - DKD",0.068375792143436,0.520631370771023,0.917395885837356,"ZADH2","RTS0037627"
"9851","ZBED1","normal - DKD",0.0570640296576297,0.821481382646686,0.970436697168168,"ZBED1","RTS0025108"
"9852","ZBED3","normal - DKD",-0.0415625200745329,0.544546214743557,0.917427792540627,"ZBED3","RTS0035233"
"9853","ZBED5","normal - DKD",0.17703533080198,0.099869119671359,0.827644537105667,"ZBED5","RTS0033806"
"9854","ZBED6","normal - DKD",0.0488753998774505,0.683084301821857,0.944041004733695,"ZBED6","RTS0051899"
"9855","ZBTB1","normal - DKD",0.0838992236081979,0.176829722756929,0.869434315686624,"ZBTB1","RTS0024012"
"9856","ZBTB10","normal - DKD",0.175385023760545,0.185829755795451,0.876619682056203,"ZBTB10","RTS0051901"
"9857","ZBTB14","normal - DKD",0.0526173937621223,0.665582738068779,0.941092637202203,"ZBTB14","RTS0024539"
"9858","ZBTB16","normal - DKD",0.336000938627203,0.341580076361195,0.886495858269584,"ZBTB16","RTS0029651"
"9859","ZBTB18","normal - DKD",-0.115356900043924,0.326637448221332,0.884129827385321,"ZBTB18","RTS0038522"
"9860","ZBTB2","normal - DKD",-0.0821791705022152,0.63259746730892,0.934103080708645,"ZBTB2","RTS0033614"
"9861","ZBTB20","normal - DKD",0.211852508979258,0.10756575505191,0.831271269702369,"ZBTB20","RTS0051903"
"9862","ZBTB21","normal - DKD",-0.0170512281827774,0.892663163505817,0.978530912873077,"ZBTB21","RTS0033528"
"9863","ZBTB22","normal - DKD",-0.158971312564,0.331760298914256,0.884793847476346,"ZBTB22","RTS0029265"
"9864","ZBTB26","normal - DKD",0.0422174956090857,0.746155966837013,0.953358610131662,"ZBTB26","RTS0033651"
"9865","ZBTB3","normal - DKD",-0.0898661180386933,0.659537307274232,0.939933145599548,"ZBTB3","RTS0034560"
"9866","ZBTB33","normal - DKD",0.243921476330354,0.21283423254267,0.876619682056203,"ZBTB33","RTS0030186"
"9867","ZBTB37","normal - DKD",-0.128587886796027,0.489494470624804,0.913593308256593,"ZBTB37","RTS0023997"
"9868","ZBTB38","normal - DKD",0.177667214850092,0.195092732150548,0.876619682056203,"ZBTB38","RTS0039008"
"9869","ZBTB4","normal - DKD",0.414422647461704,0.0502416546150227,0.817127136204832,"ZBTB4","RTS0033636"
"9870","ZBTB41","normal - DKD",0.0508718745985863,0.525285191817509,0.917404757352665,"ZBTB41","RTS0038168"
"9871","ZBTB43","normal - DKD",-0.0751895146356778,0.665771883145179,0.94109668540835,"ZBTB43","RTS0024348"
"9872","ZBTB44","normal - DKD",0.260165105981966,0.0526984265223028,0.817127136204832,"ZBTB44","RTS0031027"
"9873","ZBTB45","normal - DKD",-0.0367551466922175,0.866815833022064,0.976248767275482,"ZBTB45","RTS0035417"
"9874","ZBTB46","normal - DKD",-0.442215737699174,0.179529246255373,0.873778181196669,"ZBTB46","RTS0034750"
"9875","ZBTB48","normal - DKD",-0.2331525593826,0.318042261650111,0.883852033286481,"ZBTB48","RTS0051906"
"9876","ZBTB7A","normal - DKD",-0.0835182713685399,0.722516589603583,0.950066062123191,"ZBTB7A","RTS0031998"
"9877","ZBTB7B","normal - DKD",-0.186224813640685,0.471043416305228,0.90868034012802,"ZBTB7B","RTS0031984"
"9878","ZBTB7C","normal - DKD",-0.0420310747666281,0.861061902089079,0.974372209509245,"ZBTB7C","RTS0023045"
"9879","ZBTB8OS","normal - DKD",0.0718593420571303,0.701417056212905,0.94698238811699,"ZBTB8OS","RTS0051907"
"9880","ZC2HC1A","normal - DKD",0.10828547423364,0.18718558883771,0.876619682056203,"ZC2HC1A","RTS0032057"
"9881","ZC3H11A","normal - DKD",0.196571800105532,2.72544879942528e-05,0.00983497666764037,"ZC3H11A","RTS0031453"
"9882","ZC3H12A","normal - DKD",-0.355780059234446,0.144793088496323,0.853132230098242,"ZC3H12A","RTS0034686"
"9883","ZC3H13","normal - DKD",0.214090265689996,0.116196047885873,0.834027764792249,"ZC3H13","RTS0031606"
"9884","ZC3H14","normal - DKD",0.139176644846281,0.100432281478348,0.827644537105667,"ZC3H14","RTS0038660"
"9885","ZC3H15","normal - DKD",0.237839075346595,0.141522892022524,0.853132230098242,"ZC3H15","RTS0033023"
"9886","ZC3H18","normal - DKD",0.148728766839034,0.208113448380322,0.876619682056203,"ZC3H18","RTS0036400"
"9887","ZC3H3","normal - DKD",-0.223710677442853,0.421526074668974,0.901519767621569,"ZC3H3","RTS0039021"
"9888","ZC3H4","normal - DKD",0.145537542411092,0.334660533780372,0.884793847476346,"ZC3H4","RTS0031671"
"9889","ZC3H6","normal - DKD",-0.051163984127148,0.715339194071105,0.949108621754365,"ZC3H6","RTS0038333"
"9890","ZC3H7A","normal - DKD",0.259242901581961,0.0581296550513016,0.817127136204832,"ZC3H7A","RTS0031026"
"9891","ZC3H7B","normal - DKD",0.26770001067218,0.280338420838114,0.882899559673926,"ZC3H7B","RTS0032501"
"9892","ZC3HAV1","normal - DKD",0.116686621011117,0.700017804065583,0.94698238811699,"ZC3HAV1","RTS0033274"
"9893","ZC3HAV1L","normal - DKD",0.260521857395803,0.199189400545586,0.876619682056203,"ZC3HAV1L","RTS0051908"
"9894","ZCCHC10","normal - DKD",-0.225543105890621,0.491374926494268,0.913910335927428,"ZCCHC10","RTS0032540"
"9895","ZCCHC14","normal - DKD",-0.134439776808539,0.508945220294941,0.91682039231748,"ZCCHC14","RTS0031655"
"9896","ZCCHC17","normal - DKD",-0.0456314874212258,0.586206463774678,0.924676197786931,"ZCCHC17","RTS0026109"
"9897","ZCCHC2","normal - DKD",-0.014912618775095,0.922749275316629,0.986143797557357,"ZCCHC2","RTS0032579"
"9898","ZCCHC24","normal - DKD",-0.0549897707254288,0.729515384162032,0.950241516252826,"ZCCHC24","RTS0037175"
"9899","ZCCHC3","normal - DKD",0.243833510887314,0.0721184297646164,0.817127136204832,"ZCCHC3","RTS0035540"
"9900","ZCCHC4","normal - DKD",-0.195040903981844,0.0113645861149772,0.647213525762397,"ZCCHC4","RTS0034636"
"9901","ZCCHC8","normal - DKD",-0.187373691241176,0.00584309105960652,0.504603350993712,"ZCCHC8","RTS0032508"
"9902","ZCCHC9","normal - DKD",-0.0269152564852998,0.804525076615792,0.968997660522823,"ZCCHC9","RTS0024227"
"9903","ZDBF2","normal - DKD",0.0100403855901203,0.942068030680975,0.988805400239707,"ZDBF2","RTS0033650"
"9904","ZDHHC1","normal - DKD",-0.026827390217211,0.885543608191987,0.978138788796815,"ZDHHC1","RTS0030871"
"9905","ZDHHC11","normal - DKD",-0.178120971493269,0.54160752773152,0.917427792540627,"ZDHHC11","RTS0034561"
"9906","ZDHHC12","normal - DKD",-0.225260220002236,0.334896735420673,0.884793847476346,"ZDHHC12","RTS0026294"
"9907","ZDHHC14","normal - DKD",-0.105125125283678,0.682183639977527,0.943778915485075,"ZDHHC14","RTS0034463"
"9908","ZDHHC16","normal - DKD",-0.226785161533145,0.0799382738167923,0.817127136204832,"ZDHHC16","RTS0050030"
"9909","ZDHHC18","normal - DKD",-0.110981082380529,0.50831042719992,0.91682039231748,"ZDHHC18","RTS0035178"
"9910","ZDHHC2","normal - DKD",0.270372312008764,0.134764725540197,0.844703962070814,"ZDHHC2","RTS0051909"
"9911","ZDHHC20","normal - DKD",0.0973615726710226,0.512648531953647,0.91682039231748,"ZDHHC20","RTS0037129"
"9912","ZDHHC3","normal - DKD",-0.0375339867304588,0.755568767783968,0.95631540274473,"ZDHHC3","RTS0050031"
"9913","ZDHHC4","normal - DKD",0.235391361194965,0.000186553106131827,0.0392694288407495,"ZDHHC4","RTS0024241"
"9914","ZDHHC5","normal - DKD",-0.0884673935666522,0.333236742171375,0.884793847476346,"ZDHHC5","RTS0031836"
"9915","ZDHHC6","normal - DKD",0.802084953481588,0.112090984591366,0.834027764792249,"ZDHHC6","RTS0034104"
"9916","ZDHHC7","normal - DKD",-0.0759762315593984,0.702976677972001,0.94698238811699,"ZDHHC7","RTS0032577"
"9917","ZDHHC8","normal - DKD",-0.115871816139931,0.495468953986963,0.914121820686873,"ZDHHC8","RTS0030917"
"9918","ZEB1","normal - DKD",0.0447107318405832,0.842767023249245,0.971553837943111,"ZEB1","RTS0024084"
"9919","ZEB2","normal - DKD",-0.0638633692682979,0.84556957323251,0.972099301638732,"ZEB2","RTS0025123"
"9920","ZER1","normal - DKD",-0.0653384325641627,0.59154074699523,0.925563818992559,"ZER1","RTS0029890"
"9921","ZFAND1","normal - DKD",0.0815189565308116,0.46664690915141,0.907778276870591,"ZFAND1","RTS0034508"
"9922","ZFAND2A","normal - DKD",-0.294275010598664,0.59712200460906,0.926995007129598,"ZFAND2A","RTS0051910"
"9923","ZFAND2B","normal - DKD",-0.0157108016440035,0.910347004916089,0.982150169788444,"ZFAND2B","RTS0025962"
"9924","ZFAND3","normal - DKD",0.238294920063526,0.126493199431354,0.84106358425058,"ZFAND3","RTS0033925"
"9925","ZFAND5","normal - DKD",-0.0178124086035305,0.933086780380777,0.987504788313687,"ZFAND5","RTS0050032"
"9926","ZFAND6","normal - DKD",0.315870365295994,0.00924421169668689,0.614540520038885,"ZFAND6","RTS0025709"
"9927","ZFC3H1","normal - DKD",-0.00151563307513445,0.993750238657121,0.999089792178263,"ZFC3H1","RTS0036502"
"9928","ZFHX2","normal - DKD",0.151232083471119,0.513594688385481,0.917172274911082,"ZFHX2","RTS0035648"
"9929","ZFHX3","normal - DKD",-0.0249108747364279,0.825084911555337,0.970436697168168,"ZFHX3","RTS0030261"
"9930","ZFHX4","normal - DKD",-0.14328509388395,0.450475306796421,0.903744895066528,"ZFHX4","RTS0034521"
"9931","ZFP1","normal - DKD",-0.173788844549915,0.393907043430388,0.896270116152559,"ZFP1","RTS0037218"
"9932","ZFP14","normal - DKD",-0.192378662320099,0.477290823763075,0.91002610527225,"ZFP14","RTS0033645"
"9933","ZFP28","normal - DKD",-0.0609310160093468,0.652423896680567,0.939933145599548,"ZFP28","RTS0033595"
"9934","ZFP3","normal - DKD",0.0615931512476188,0.743285686586208,0.952742198325478,"ZFP3","RTS0037092"
"9935","ZFP30","normal - DKD",-0.0760292824269828,0.528068100370954,0.917427792540627,"ZFP30","RTS0031498"
"9936","ZFP36","normal - DKD",-0.141778668766644,0.767429048736581,0.958598480459193,"ZFP36","RTS0027835"
