""	"RTS_ID"	"TargetName"	"Module"	"CodeClass"	"ProbeID"	"Negative"
"RTS0026804"	"RTS0026804"	"EVPL"	"TAP_H_WTA_v1.0"	"Endogenous"	"41022"	FALSE
"RTS0026805"	"RTS0026805"	"EVX1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41023"	FALSE
"RTS0026806"	"RTS0026806"	"EYA3"	"TAP_H_WTA_v1.0"	"Endogenous"	"41024"	FALSE
"RTS0026807"	"RTS0026807"	"EZH1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41025"	FALSE
"RTS0026810"	"RTS0026810"	"F13B"	"TAP_H_WTA_v1.0"	"Endogenous"	"41026"	FALSE
"RTS0026811"	"RTS0026811"	"ACSL1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41027"	FALSE
"RTS0026812"	"RTS0026812"	"FAU"	"TAP_H_WTA_v1.0"	"Endogenous"	"41028"	FALSE
"RTS0026813"	"RTS0026813"	"FBN2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41029"	FALSE
"RTS0026814"	"RTS0026814"	"FCAR"	"TAP_H_WTA_v1.0"	"Endogenous"	"41030"	FALSE
"RTS0026815"	"RTS0026815"	"FCER1A"	"TAP_H_WTA_v1.0"	"Endogenous"	"41031"	FALSE
"RTS0026816"	"RTS0026816"	"FCER2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41032"	FALSE
"RTS0026817"	"RTS0026817"	"FCN1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41033"	FALSE
"RTS0026819"	"RTS0026819"	"FGF2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41034"	FALSE
"RTS0026820"	"RTS0026820"	"FGF4"	"TAP_H_WTA_v1.0"	"Endogenous"	"41035"	FALSE
"RTS0026821"	"RTS0026821"	"FGF7"	"TAP_H_WTA_v1.0"	"Endogenous"	"41036"	FALSE
"RTS0026822"	"RTS0026822"	"FGF9"	"TAP_H_WTA_v1.0"	"Endogenous"	"41037"	FALSE
"RTS0026823"	"RTS0026823"	"FGFR4"	"TAP_H_WTA_v1.0"	"Endogenous"	"41038"	FALSE
"RTS0026824"	"RTS0026824"	"FHIT"	"TAP_H_WTA_v1.0"	"Endogenous"	"41039"	FALSE
"RTS0026825"	"RTS0026825"	"FKBP3"	"TAP_H_WTA_v1.0"	"Endogenous"	"41040"	FALSE
"RTS0026826"	"RTS0026826"	"FKBP4"	"TAP_H_WTA_v1.0"	"Endogenous"	"41041"	FALSE
"RTS0026828"	"RTS0026828"	"FLG"	"TAP_H_WTA_v1.0"	"Endogenous"	"41042"	FALSE
"RTS0026830"	"RTS0026830"	"FLT1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41043"	FALSE
"RTS0026831"	"RTS0026831"	"FLT4"	"TAP_H_WTA_v1.0"	"Endogenous"	"41044"	FALSE
"RTS0026832"	"RTS0026832"	"FMO1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41045"	FALSE
"RTS0026833"	"RTS0026833"	"FMO4"	"TAP_H_WTA_v1.0"	"Endogenous"	"41046"	FALSE
"RTS0026834"	"RTS0026834"	"FMOD"	"TAP_H_WTA_v1.0"	"Endogenous"	"41047"	FALSE
"RTS0026836"	"RTS0026836"	"AFF2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41048"	FALSE
"RTS0026837"	"RTS0026837"	"FNTA"	"TAP_H_WTA_v1.0"	"Endogenous"	"41049"	FALSE
"RTS0026838"	"RTS0026838"	"FNTB"	"TAP_H_WTA_v1.0"	"Endogenous"	"41050"	FALSE
"RTS0026839"	"RTS0026839"	"FPR1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41051"	FALSE
"RTS0026840"	"RTS0026840"	"FPR3"	"TAP_H_WTA_v1.0"	"Endogenous"	"41052"	FALSE
"RTS0026841"	"RTS0026841"	"FRK"	"TAP_H_WTA_v1.0"	"Endogenous"	"41053"	FALSE
"RTS0026842"	"RTS0026842"	"FTH1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41054"	FALSE
"RTS0026843"	"RTS0026843"	"FUT4"	"TAP_H_WTA_v1.0"	"Endogenous"	"41055"	FALSE
"RTS0026844"	"RTS0026844"	"FUT5"	"TAP_H_WTA_v1.0"	"Endogenous"	"41056"	FALSE
"RTS0026847"	"RTS0026847"	"FYN"	"TAP_H_WTA_v1.0"	"Endogenous"	"41057"	FALSE
"RTS0026849"	"RTS0026849"	"GAB1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41058"	FALSE
"RTS0026850"	"RTS0026850"	"GABPA"	"TAP_H_WTA_v1.0"	"Endogenous"	"41059"	FALSE
"RTS0026851"	"RTS0026851"	"GABPB1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41060"	FALSE
"RTS0026852"	"RTS0026852"	"GABRR1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41061"	FALSE
"RTS0026853"	"RTS0026853"	"GABRR2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41062"	FALSE
"RTS0026854"	"RTS0026854"	"GAP43"	"TAP_H_WTA_v1.0"	"Endogenous"	"41063"	FALSE
"RTS0026856"	"RTS0026856"	"GAS1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41064"	FALSE
"RTS0026857"	"RTS0026857"	"GATA1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41065"	FALSE
"RTS0026858"	"RTS0026858"	"GATA4"	"TAP_H_WTA_v1.0"	"Endogenous"	"41066"	FALSE
"RTS0026859"	"RTS0026859"	"GBP1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41067"	FALSE
"RTS0026860"	"RTS0026860"	"GCG"	"TAP_H_WTA_v1.0"	"Endogenous"	"41068"	FALSE
"RTS0026861"	"RTS0026861"	"GFAP"	"TAP_H_WTA_v1.0"	"Endogenous"	"41069"	FALSE
"RTS0026862"	"RTS0026862"	"GJA4"	"TAP_H_WTA_v1.0"	"Endogenous"	"41070"	FALSE
"RTS0026864"	"RTS0026864"	"GLP1R"	"TAP_H_WTA_v1.0"	"Endogenous"	"41071"	FALSE
"RTS0026865"	"RTS0026865"	"GLRX"	"TAP_H_WTA_v1.0"	"Endogenous"	"41072"	FALSE
"RTS0026866"	"RTS0026866"	"GML"	"TAP_H_WTA_v1.0"	"Endogenous"	"41073"	FALSE
"RTS0026867"	"RTS0026867"	"GNA11"	"TAP_H_WTA_v1.0"	"Endogenous"	"41074"	FALSE
"RTS0026868"	"RTS0026868"	"GNA15"	"TAP_H_WTA_v1.0"	"Endogenous"	"41075"	FALSE
"RTS0026869"	"RTS0026869"	"GNAI1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41076"	FALSE
"RTS0026870"	"RTS0026870"	"GNAI2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41077"	FALSE
"RTS0026871"	"RTS0026871"	"GNAQ"	"TAP_H_WTA_v1.0"	"Endogenous"	"41078"	FALSE
"RTS0026872"	"RTS0026872"	"GNAZ"	"TAP_H_WTA_v1.0"	"Endogenous"	"41079"	FALSE
"RTS0026873"	"RTS0026873"	"GNB1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41080"	FALSE
"RTS0026874"	"RTS0026874"	"GNB3"	"TAP_H_WTA_v1.0"	"Endogenous"	"41081"	FALSE
"RTS0026875"	"RTS0026875"	"GNS"	"TAP_H_WTA_v1.0"	"Endogenous"	"41082"	FALSE
"RTS0026876"	"RTS0026876"	"GOLGA1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41083"	FALSE
"RTS0026877"	"RTS0026877"	"GOLGA4"	"TAP_H_WTA_v1.0"	"Endogenous"	"41084"	FALSE
"RTS0026878"	"RTS0026878"	"GOT1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41085"	FALSE
"RTS0026879"	"RTS0026879"	"GOT2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41086"	FALSE
"RTS0026880"	"RTS0026880"	"GPC1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41087"	FALSE
"RTS0026882"	"RTS0026882"	"GPX3"	"TAP_H_WTA_v1.0"	"Endogenous"	"41088"	FALSE
"RTS0026883"	"RTS0026883"	"GRB2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41089"	FALSE
"RTS0026884"	"RTS0026884"	"GRN"	"TAP_H_WTA_v1.0"	"Endogenous"	"41090"	FALSE
"RTS0026885"	"RTS0026885"	"GRIK5"	"TAP_H_WTA_v1.0"	"Endogenous"	"41091"	FALSE
"RTS0026886"	"RTS0026886"	"CXCL2"	"TAP_H_WTA_v1.0"	"Endogenous"	"2204"	FALSE
"RTS0026887"	"RTS0026887"	"CXCL3"	"TAP_H_WTA_v1.0"	"Endogenous"	"41092"	FALSE
"RTS0026888"	"RTS0026888"	"GSK3B"	"TAP_H_WTA_v1.0"	"Endogenous"	"41093"	FALSE
"RTS0026889"	"RTS0026889"	"GSPT1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41094"	FALSE
"RTS0026890"	"RTS0026890"	"GTF2E2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41095"	FALSE
"RTS0026892"	"RTS0026892"	"GTF3A"	"TAP_H_WTA_v1.0"	"Endogenous"	"41096"	FALSE
"RTS0026893"	"RTS0026893"	"GUCA1B"	"TAP_H_WTA_v1.0"	"Endogenous"	"41097"	FALSE
"RTS0026894"	"RTS0026894"	"GYPA"	"TAP_H_WTA_v1.0"	"Endogenous"	"41098"	FALSE
"RTS0026895"	"RTS0026895"	"GYPB"	"TAP_H_WTA_v1.0"	"Endogenous"	"41099"	FALSE
"RTS0026896"	"RTS0026896"	"GYPE"	"TAP_H_WTA_v1.0"	"Endogenous"	"41100"	FALSE
"RTS0026897"	"RTS0026897"	"GYS1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41101"	FALSE
"RTS0026898"	"RTS0026898"	"GZMK"	"TAP_H_WTA_v1.0"	"Endogenous"	"41102"	FALSE
"RTS0026899"	"RTS0026899"	"H2AX"	"TAP_H_WTA_v1.0"	"Endogenous"	"41103"	FALSE
"RTS0026901"	"RTS0026901"	"H3-3A"	"TAP_H_WTA_v1.0"	"Endogenous"	"41104"	FALSE
"RTS0026902"	"RTS0026902"	"HCK"	"TAP_H_WTA_v1.0"	"Endogenous"	"41105"	FALSE
"RTS0026903"	"RTS0026903"	"HTT"	"TAP_H_WTA_v1.0"	"Endogenous"	"41106"	FALSE
"RTS0026904"	"RTS0026904"	"HDC"	"TAP_H_WTA_v1.0"	"Endogenous"	"41107"	FALSE
"RTS0026905"	"RTS0026905"	"CFHR1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41108"	FALSE
"RTS0026906"	"RTS0026906"	"HIVEP1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41109"	FALSE
"RTS0026907"	"RTS0026907"	"HK3"	"TAP_H_WTA_v1.0"	"Endogenous"	"41110"	FALSE
"RTS0026908"	"RTS0026908"	"HLA-C"	"TAP_H_WTA_v1.0"	"Endogenous"	"41111"	FALSE
"RTS0026909"	"RTS0026909"	"HLA-DMB"	"TAP_H_WTA_v1.0"	"Endogenous"	"41112"	FALSE
"RTS0026910"	"RTS0026910"	"HLA-DOA"	"TAP_H_WTA_v1.0"	"Endogenous"	"41113"	FALSE
"RTS0026911"	"RTS0026911"	"HLA-DOB"	"TAP_H_WTA_v1.0"	"Endogenous"	"41114"	FALSE
"RTS0026912"	"RTS0026912"	"HLA-DPB1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41115"	FALSE
"RTS0026913"	"RTS0026913"	"HLA-DQA1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41116"	FALSE
"RTS0026914"	"RTS0026914"	"HLA-DQB1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41117"	FALSE
"RTS0026915"	"RTS0026915"	"HLA-DRB1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41118"	FALSE
"RTS0026916"	"RTS0026916"	"HLF"	"TAP_H_WTA_v1.0"	"Endogenous"	"41119"	FALSE
"RTS0026918"	"RTS0026918"	"HMGB1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41120"	FALSE
"RTS0026919"	"RTS0026919"	"HMGCS1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41121"	FALSE
"RTS0026920"	"RTS0026920"	"HMOX1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41122"	FALSE
"RTS0026921"	"RTS0026921"	"HNRNPA2B1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41123"	FALSE
"RTS0026922"	"RTS0026922"	"HNRNPD"	"TAP_H_WTA_v1.0"	"Endogenous"	"41124"	FALSE
"RTS0026923"	"RTS0026923"	"HNRNPK"	"TAP_H_WTA_v1.0"	"Endogenous"	"41125"	FALSE
"RTS0026924"	"RTS0026924"	"HOXA4"	"TAP_H_WTA_v1.0"	"Endogenous"	"41126"	FALSE
"RTS0026925"	"RTS0026925"	"HPCA"	"TAP_H_WTA_v1.0"	"Endogenous"	"41127"	FALSE
"RTS0026926"	"RTS0026926"	"HOXB1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41128"	FALSE
"RTS0026927"	"RTS0026927"	"HOXB2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41129"	FALSE
"RTS0026928"	"RTS0026928"	"HOXB3"	"TAP_H_WTA_v1.0"	"Endogenous"	"41130"	FALSE
"RTS0026929"	"RTS0026929"	"HOXB5"	"TAP_H_WTA_v1.0"	"Endogenous"	"41131"	FALSE
"RTS0026930"	"RTS0026930"	"HOXD10"	"TAP_H_WTA_v1.0"	"Endogenous"	"41132"	FALSE
"RTS0026931"	"RTS0026931"	"HPCAL1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41133"	FALSE
"RTS0026932"	"RTS0026932"	"HPD"	"TAP_H_WTA_v1.0"	"Endogenous"	"41134"	FALSE
"RTS0026933"	"RTS0026933"	"HRC"	"TAP_H_WTA_v1.0"	"Endogenous"	"41135"	FALSE
"RTS0026934"	"RTS0026934"	"HSD17B2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41136"	FALSE
"RTS0026935"	"RTS0026935"	"HSPA4"	"TAP_H_WTA_v1.0"	"Endogenous"	"41137"	FALSE
"RTS0026936"	"RTS0026936"	"HSPA6"	"TAP_H_WTA_v1.0"	"Endogenous"	"41138"	FALSE
"RTS0026937"	"RTS0026937"	"HSPD1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41139"	FALSE
"RTS0026938"	"RTS0026938"	"HSPE1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41140"	FALSE
"RTS0026939"	"RTS0026939"	"FOXN2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41141"	FALSE
"RTS0026940"	"RTS0026940"	"HTN1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41142"	FALSE
"RTS0026941"	"RTS0026941"	"TNC"	"TAP_H_WTA_v1.0"	"Endogenous"	"41143"	FALSE
"RTS0026942"	"RTS0026942"	"IARS1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41144"	FALSE
"RTS0026943"	"RTS0026943"	"ICAM3"	"TAP_H_WTA_v1.0"	"Endogenous"	"41145"	FALSE
"RTS0026944"	"RTS0026944"	"IRF8"	"TAP_H_WTA_v1.0"	"Endogenous"	"4319"	FALSE
"RTS0026945"	"RTS0026945"	"IDO1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41146"	FALSE
"RTS0026946"	"RTS0026946"	"ID1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41147"	FALSE
"RTS0026947"	"RTS0026947"	"ID2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41148"	FALSE
"RTS0026949"	"RTS0026949"	"IDH2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41149"	FALSE
"RTS0026950"	"RTS0026950"	"IFNA8"	"TAP_H_WTA_v1.0"	"Endogenous"	"41150"	FALSE
"RTS0026951"	"RTS0026951"	"IFNA14"	"TAP_H_WTA_v1.0"	"Endogenous"	"41151"	FALSE
"RTS0026952"	"RTS0026952"	"IFNA16"	"TAP_H_WTA_v1.0"	"Endogenous"	"41152"	FALSE
"RTS0026953"	"RTS0026953"	"IFNB1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41153"	FALSE
"RTS0026954"	"RTS0026954"	"IFNW1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41154"	FALSE
"RTS0026955"	"RTS0026955"	"IGFBP6"	"TAP_H_WTA_v1.0"	"Endogenous"	"41155"	FALSE
"RTS0026956"	"RTS0026956"	"IGHMBP2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41156"	FALSE
"RTS0026957"	"RTS0026957"	"IHH"	"TAP_H_WTA_v1.0"	"Endogenous"	"41157"	FALSE
"RTS0026958"	"RTS0026958"	"IL3RA"	"TAP_H_WTA_v1.0"	"Endogenous"	"41158"	FALSE
"RTS0026959"	"RTS0026959"	"IL6ST"	"TAP_H_WTA_v1.0"	"Endogenous"	"41159"	FALSE
"RTS0026961"	"RTS0026961"	"IL12B"	"TAP_H_WTA_v1.0"	"Endogenous"	"41160"	FALSE
"RTS0026962"	"RTS0026962"	"IL13"	"TAP_H_WTA_v1.0"	"Endogenous"	"41161"	FALSE
"RTS0026963"	"RTS0026963"	"IL15RA"	"TAP_H_WTA_v1.0"	"Endogenous"	"41162"	FALSE
"RTS0026964"	"RTS0026964"	"IL17A"	"TAP_H_WTA_v1.0"	"Endogenous"	"41163"	FALSE
"RTS0026965"	"RTS0026965"	"INHA"	"TAP_H_WTA_v1.0"	"Endogenous"	"41164"	FALSE
"RTS0026966"	"RTS0026966"	"INHBA"	"TAP_H_WTA_v1.0"	"Endogenous"	"41165"	FALSE
"RTS0026968"	"RTS0026968"	"INSL4"	"TAP_H_WTA_v1.0"	"Endogenous"	"41166"	FALSE
"RTS0026969"	"RTS0026969"	"INSM1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41167"	FALSE
"RTS0026970"	"RTS0026970"	"ACO1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41168"	FALSE
"RTS0026972"	"RTS0026972"	"IRF2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41169"	FALSE
"RTS0026973"	"RTS0026973"	"IRF5"	"TAP_H_WTA_v1.0"	"Endogenous"	"41170"	FALSE
"RTS0026974"	"RTS0026974"	"ISG20"	"TAP_H_WTA_v1.0"	"Endogenous"	"41171"	FALSE
"RTS0026975"	"RTS0026975"	"ISL1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41172"	FALSE
"RTS0026977"	"RTS0026977"	"ITGA3"	"TAP_H_WTA_v1.0"	"Endogenous"	"41173"	FALSE
"RTS0026978"	"RTS0026978"	"ITGA5"	"TAP_H_WTA_v1.0"	"Endogenous"	"41174"	FALSE
"RTS0026980"	"RTS0026980"	"ITGA9"	"TAP_H_WTA_v1.0"	"Endogenous"	"41175"	FALSE
"RTS0026983"	"RTS0026983"	"ITGAV"	"TAP_H_WTA_v1.0"	"Endogenous"	"41176"	FALSE
"RTS0026984"	"RTS0026984"	"ITGB5"	"TAP_H_WTA_v1.0"	"Endogenous"	"41177"	FALSE
"RTS0026985"	"RTS0026985"	"ITGB8"	"TAP_H_WTA_v1.0"	"Endogenous"	"41178"	FALSE
"RTS0026986"	"RTS0026986"	"ITIH2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41179"	FALSE
"RTS0026987"	"RTS0026987"	"ITIH3"	"TAP_H_WTA_v1.0"	"Endogenous"	"41180"	FALSE
"RTS0026988"	"RTS0026988"	"ITIH4"	"TAP_H_WTA_v1.0"	"Endogenous"	"41181"	FALSE
"RTS0026989"	"RTS0026989"	"ITPKA"	"TAP_H_WTA_v1.0"	"Endogenous"	"41182"	FALSE
"RTS0026990"	"RTS0026990"	"ITPKB"	"TAP_H_WTA_v1.0"	"Endogenous"	"41183"	FALSE
"RTS0026991"	"RTS0026991"	"ITPR2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41184"	FALSE
"RTS0026992"	"RTS0026992"	"ITPR3"	"TAP_H_WTA_v1.0"	"Endogenous"	"41185"	FALSE
"RTS0026993"	"RTS0026993"	"IVD"	"TAP_H_WTA_v1.0"	"Endogenous"	"41186"	FALSE
"RTS0026994"	"RTS0026994"	"JAK1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41187"	FALSE
"RTS0026995"	"RTS0026995"	"JUN"	"TAP_H_WTA_v1.0"	"Endogenous"	"41188"	FALSE
"RTS0026997"	"RTS0026997"	"JUP"	"TAP_H_WTA_v1.0"	"Endogenous"	"41189"	FALSE
"RTS0026998"	"RTS0026998"	"CD82"	"TAP_H_WTA_v1.0"	"Endogenous"	"41190"	FALSE
"RTS0026999"	"RTS0026999"	"KCNA4"	"TAP_H_WTA_v1.0"	"Endogenous"	"41191"	FALSE
"RTS0027000"	"RTS0027000"	"KCNA5"	"TAP_H_WTA_v1.0"	"Endogenous"	"41192"	FALSE
"RTS0027001"	"RTS0027001"	"KCNA6"	"TAP_H_WTA_v1.0"	"Endogenous"	"41193"	FALSE
"RTS0027002"	"RTS0027002"	"KCNF1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41194"	FALSE
"RTS0027004"	"RTS0027004"	"KCNH1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41195"	FALSE
"RTS0027005"	"RTS0027005"	"KCNJ6"	"TAP_H_WTA_v1.0"	"Endogenous"	"41196"	FALSE
"RTS0027006"	"RTS0027006"	"KCNJ10"	"TAP_H_WTA_v1.0"	"Endogenous"	"41197"	FALSE
"RTS0027007"	"RTS0027007"	"KCNJ15"	"TAP_H_WTA_v1.0"	"Endogenous"	"41198"	FALSE
"RTS0027008"	"RTS0027008"	"KCNK1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41199"	FALSE
"RTS0027009"	"RTS0027009"	"KCNN1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41200"	FALSE
"RTS0027010"	"RTS0027010"	"KCNN3"	"TAP_H_WTA_v1.0"	"Endogenous"	"41201"	FALSE
"RTS0027011"	"RTS0027011"	"KCNN4"	"TAP_H_WTA_v1.0"	"Endogenous"	"41202"	FALSE
"RTS0027012"	"RTS0027012"	"KCNS1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41203"	FALSE
"RTS0027013"	"RTS0027013"	"KCNS3"	"TAP_H_WTA_v1.0"	"Endogenous"	"41204"	FALSE
"RTS0027014"	"RTS0027014"	"KDR"	"TAP_H_WTA_v1.0"	"Endogenous"	"41205"	FALSE
"RTS0027015"	"RTS0027015"	"KIF3C"	"TAP_H_WTA_v1.0"	"Endogenous"	"41206"	FALSE
"RTS0027016"	"RTS0027016"	"KISS1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41207"	FALSE
"RTS0027017"	"RTS0027017"	"KLK1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41208"	FALSE
"RTS0027018"	"RTS0027018"	"KLRB1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41209"	FALSE
"RTS0027019"	"RTS0027019"	"KLRC2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41210"	FALSE
"RTS0027021"	"RTS0027021"	"KPNA1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41211"	FALSE
"RTS0027022"	"RTS0027022"	"KPNB1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41212"	FALSE
"RTS0027024"	"RTS0027024"	"KPNA3"	"TAP_H_WTA_v1.0"	"Endogenous"	"41213"	FALSE
"RTS0027025"	"RTS0027025"	"KPNA4"	"TAP_H_WTA_v1.0"	"Endogenous"	"41214"	FALSE
"RTS0027027"	"RTS0027027"	"TNPO1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41215"	FALSE
"RTS0027028"	"RTS0027028"	"IPO5"	"TAP_H_WTA_v1.0"	"Endogenous"	"41216"	FALSE
"RTS0027030"	"RTS0027030"	"KRT8"	"TAP_H_WTA_v1.0"	"Endogenous"	"41217"	FALSE
"RTS0027034"	"RTS0027034"	"KRT31"	"TAP_H_WTA_v1.0"	"Endogenous"	"41218"	FALSE
"RTS0027035"	"RTS0027035"	"KRT32"	"TAP_H_WTA_v1.0"	"Endogenous"	"41219"	FALSE
"RTS0027036"	"RTS0027036"	"KRT33B"	"TAP_H_WTA_v1.0"	"Endogenous"	"41220"	FALSE
"RTS0027037"	"RTS0027037"	"KRT35"	"TAP_H_WTA_v1.0"	"Endogenous"	"41221"	FALSE
"RTS0027038"	"RTS0027038"	"KRT81"	"TAP_H_WTA_v1.0"	"Endogenous"	"41222"	FALSE
"RTS0027039"	"RTS0027039"	"KRT83"	"TAP_H_WTA_v1.0"	"Endogenous"	"41223"	FALSE
"RTS0027040"	"RTS0027040"	"KRT85"	"TAP_H_WTA_v1.0"	"Endogenous"	"41224"	FALSE
"RTS0027041"	"RTS0027041"	"KRT86"	"TAP_H_WTA_v1.0"	"Endogenous"	"41225"	FALSE
"RTS0027042"	"RTS0027042"	"LAG3"	"TAP_H_WTA_v1.0"	"Endogenous"	"41226"	FALSE
"RTS0027043"	"RTS0027043"	"LAIR1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41227"	FALSE
"RTS0027044"	"RTS0027044"	"LAIR2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41228"	FALSE
"RTS0027045"	"RTS0027045"	"LALBA"	"TAP_H_WTA_v1.0"	"Endogenous"	"41229"	FALSE
"RTS0027046"	"RTS0027046"	"LAMB1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41230"	FALSE
"RTS0027047"	"RTS0027047"	"LAMB2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41231"	FALSE
"RTS0027048"	"RTS0027048"	"LAMC1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41232"	FALSE
"RTS0027049"	"RTS0027049"	"LAMP2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41233"	FALSE
"RTS0027050"	"RTS0027050"	"RPSA"	"TAP_H_WTA_v1.0"	"Endogenous"	"41234"	FALSE
"RTS0027051"	"RTS0027051"	"LBR"	"TAP_H_WTA_v1.0"	"Endogenous"	"41235"	FALSE
"RTS0027052"	"RTS0027052"	"LCN1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41236"	FALSE
"RTS0027053"	"RTS0027053"	"LCP1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41237"	FALSE
"RTS0027054"	"RTS0027054"	"LCT"	"TAP_H_WTA_v1.0"	"Endogenous"	"41238"	FALSE
"RTS0027055"	"RTS0027055"	"LDHC"	"TAP_H_WTA_v1.0"	"Endogenous"	"41239"	FALSE
"RTS0027056"	"RTS0027056"	"LECT2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41240"	FALSE
"RTS0027058"	"RTS0027058"	"LIF"	"TAP_H_WTA_v1.0"	"Endogenous"	"41241"	FALSE
"RTS0027060"	"RTS0027060"	"LIG3"	"TAP_H_WTA_v1.0"	"Endogenous"	"41242"	FALSE
"RTS0027061"	"RTS0027061"	"LIG4"	"TAP_H_WTA_v1.0"	"Endogenous"	"41243"	FALSE
"RTS0027062"	"RTS0027062"	"LIMK1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41244"	FALSE
"RTS0027063"	"RTS0027063"	"LMO1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41245"	FALSE
"RTS0027064"	"RTS0027064"	"LMX1B"	"TAP_H_WTA_v1.0"	"Endogenous"	"41246"	FALSE
"RTS0027066"	"RTS0027066"	"LOXL2"	"TAP_H_WTA_v1.0"	"Endogenous"	"41247"	FALSE
"RTS0027067"	"RTS0027067"	"LRCH4"	"TAP_H_WTA_v1.0"	"Endogenous"	"41248"	FALSE
"RTS0027068"	"RTS0027068"	"LRP1"	"TAP_H_WTA_v1.0"	"Endogenous"	"41249"	FALSE
