gene,beta
RTS0038596,0.000257473
RTS0038986,0.0198329
RTS0039036,0.00451275
RTS0039039,-0.0202511
RTS0039347,0.0171702
RTS0039379,0.00479357
RTS0049596,-0.000567737
RTS0049700,0.000783079
RTS0049713,0.0298777
RTS0049734,0.00674841
RTS0049745,0.00432203
RTS0049908,0.0531376
RTS0049909,0.00760177
RTS0049910,0.015446
RTS0049987,-0.0633976
RTS0049997,-0.00487644
RTS0050164,-0.000359046
RTS0050189,0.0036147
RTS0050230,0.0225972
RTS0050247,-0.000285074
RTS0050255,-0.00163814
RTS0050311,-0.00798311
RTS0050362,0.0127781
RTS0050469,0.0214368
RTS0050495,-0.00255307
RTS0050499,0.115995
RTS0050732,0.000468727
RTS0050806,0.00851453
RTS0050811,0.000110883
RTS0050835,0.0645801
RTS0050848,-0.0896196
RTS0050883,0.00341306
RTS0051048,-0.0814403
RTS0051130,-0.0464175
RTS0051166,0.0104004
RTS0051263,0.0010497
RTS0051276,0.0123941
RTS0051363,0.000298593
RTS0051423,-0.00851531
RTS0051480,0.00541155
RTS0051484,-0.00627065
RTS0051546,-0.00977908
RTS0051653,0.00239307
RTS0051658,0.0879965
RTS0051836,-0.000236719
RTS0051854,0.0207775
RTS0051855,0.025405
RTS0051931,0.000667435
RTS0052001,0.0309104
RTS0052002,0.00914522
RTS0052003,0.0149059
RTS0052004,0.0287256
RTS0052005,0.0310432
RTS0052006,0.0581958
RTS0052008,0.0637648
RTS0052009,0.00618142
