gene,beta
RTS0030528,0.00155782
RTS0030537,-0.00301097
RTS0030555,0.000353564
RTS0030765,0.00151737
RTS0030862,0.00391381
RTS0030964,0.00027039
RTS0030980,0.00488759
RTS0031118,-0.000579562
RTS0031135,0.0110051
RTS0031174,0.00133782
RTS0031183,0.00174229
RTS0031255,0.00271171
RTS0031289,0.00989594
RTS0031304,-0.0232841
RTS0031321,0.0221744
RTS0031322,0.00921398
RTS0031334,0.00105874
RTS0031356,0.0183682
RTS0031397,-0.00614777
RTS0031420,0.00215328
RTS0031471,-0.279499
RTS0031500,-0.00951217
RTS0031505,-0.000812253
RTS0031517,0.00259477
RTS0031700,0.00115123
RTS0031756,-0.000333293
RTS0032017,0.0730497
RTS0032031,0.0859261
RTS0032061,-0.00264419
RTS0032106,0.000460956
RTS0032188,-0.103074
RTS0032193,-0.0194055
RTS0032286,0.00162594
RTS0032411,-0.0280005
RTS0032412,-0.0109782
RTS0032561,0.00344611
RTS0032576,-0.0136135
RTS0032590,0.000131612
RTS0032644,0.000182755
RTS0032779,0.00168592
RTS0032873,0.00714119
RTS0033044,0.00237385
RTS0033110,0.000602513
RTS0033253,0.0334535
RTS0033278,-0.00171566
RTS0033336,0.00461332
RTS0033440,0.0368868
RTS0033444,0.00458703
RTS0033451,-0.00287698
RTS0033575,-0.00471996
RTS0033676,0.000326582
RTS0033687,0.000787411
RTS0033715,-0.000800639
RTS0033744,0.00172227
RTS0033745,0.0360774
RTS0033755,-0.0320311
RTS0033819,-0.00694094
RTS0033849,-0.0521558
RTS0033868,-0.00106479
RTS0033911,-0.000154582
RTS0033935,-0.00520656
RTS0033954,-0.0744493
RTS0034089,-0.00220527
RTS0034104,0.000145212
RTS0034134,-0.00652652
RTS0034279,-0.00263545
RTS0034288,-0.0718616
RTS0034315,0.00624851
RTS0034554,0.00204626
RTS0034598,0.00157643
RTS0034635,0.0012306
RTS0034675,-0.0050508
RTS0034694,-0.0112477
RTS0034705,-0.0023411
RTS0034741,0.00164565
RTS0034765,0.00465671
RTS0034778,-0.000494472
RTS0034828,-0.000344985
RTS0034832,-0.000247259
RTS0034924,0.0144319
